Game Date,Away Team,Home Team,YRFI_Prob,YRFI🔥,NRFI_Prob,NRFI🔥,Total
2025-03-31,Chicago Cubs,Athletics,0.1329999999999999,🔥,0.8670000000000001,🔥🔥🔥🔥🔥,
2025-03-31,Colorado Rockies,Philadelphia Phillies,0.5448333333333334,🔥🔥🔥,0.4551666666666666,🔥🔥🔥,
2025-03-31,San Francisco Giants,Houston Astros,0.36,🔥🔥,0.64,🔥🔥🔥🔥,
2025-03-31,Kansas City Royals,Milwaukee Brewers,0.5575,🔥🔥🔥,0.4425,🔥🔥🔥,
2025-03-31,Los Angeles Angels,St. Louis Cardinals,0.88,🔥🔥🔥🔥🔥,0.12,🔥,
2025-03-31,Cleveland Guardians,San Diego Padres,0.1466666666666666,🔥,0.8533333333333334,🔥🔥🔥🔥🔥,
2025-03-31,Boston Red Sox,Baltimore Orioles,0.3633333333333333,🔥🔥,0.6366666666666667,🔥🔥🔥🔥,
2025-03-31,Washington Nationals,Toronto Blue Jays,0.3066666666666667,🔥🔥,0.6933333333333334,🔥🔥🔥🔥,
2025-03-31,Detroit Tigers,Seattle Mariners,0.3575,🔥🔥,0.6425000000000001,🔥🔥🔥🔥,
2025-03-31,Texas Rangers,Cincinnati Reds,0.55,🔥🔥🔥,0.44999999999999996,🔥🔥🔥,
2025-03-31,Pittsburgh Pirates,Tampa Bay Rays,0.165,🔥,0.835,🔥🔥🔥🔥🔥,
2025-03-31,New York Mets,Miami Marlins,0.308,🔥🔥,0.692,🔥🔥🔥🔥,
2025-03-31,Atlanta Braves,Los Angeles Dodgers,0.5266666666666666,🔥🔥🔥,0.4733333333333334,🔥🔥🔥,
2025-03-31,Minnesota Twins,Chicago White Sox,0.445,🔥🔥🔥,0.5549999999999999,🔥🔥🔥,
2025-04-01,New York Mets,Miami Marlins,0.308,🔥🔥,0.692,🔥🔥🔥🔥,
2025-04-01,Chicago Cubs,Athletics,0.1329999999999999,🔥,0.8670000000000001,🔥🔥🔥🔥🔥,
2025-04-01,Minnesota Twins,Chicago White Sox,0.445,🔥🔥🔥,0.5549999999999999,🔥🔥🔥,
2025-04-01,Kansas City Royals,Milwaukee Brewers,0.5575,🔥🔥🔥,0.4425,🔥🔥🔥,
2025-04-01,Pittsburgh Pirates,Tampa Bay Rays,0.165,🔥,0.835,🔥🔥🔥🔥🔥,
2025-04-01,San Francisco Giants,Houston Astros,0.36,🔥🔥,0.64,🔥🔥🔥🔥,
2025-04-01,Los Angeles Angels,St. Louis Cardinals,0.88,🔥🔥🔥🔥🔥,0.12,🔥,
2025-04-01,Cleveland Guardians,San Diego Padres,0.1466666666666666,🔥,0.8533333333333334,🔥🔥🔥🔥🔥,
2025-04-01,Detroit Tigers,Seattle Mariners,0.3575,🔥🔥,0.6425000000000001,🔥🔥🔥🔥,
2025-04-01,Arizona Diamondbacks,New York Yankees,0.6003333333333334,🔥🔥🔥🔥,0.3996666666666666,🔥🔥,
2025-04-01,Texas Rangers,Cincinnati Reds,0.55,🔥🔥🔥,0.44999999999999996,🔥🔥🔥,
2025-04-01,Atlanta Braves,Los Angeles Dodgers,0.5266666666666666,🔥🔥🔥,0.4733333333333334,🔥🔥🔥,
2025-04-01,Washington Nationals,Toronto Blue Jays,0.3066666666666667,🔥🔥,0.6933333333333334,🔥🔥🔥🔥,
2025-04-02,Atlanta Braves,Los Angeles Dodgers,0.5266666666666666,🔥🔥🔥,0.4733333333333334,🔥🔥🔥,
2025-04-02,Detroit Tigers,Seattle Mariners,0.3575,🔥🔥,0.6425000000000001,🔥🔥🔥🔥,
2025-04-02,Los Angeles Angels,St. Louis Cardinals,0.88,🔥🔥🔥🔥🔥,0.12,🔥,
2025-04-02,Colorado Rockies,Philadelphia Phillies,0.5448333333333334,🔥🔥🔥,0.4551666666666666,🔥🔥🔥,
2025-04-02,New York Mets,Miami Marlins,0.308,🔥🔥,0.692,🔥🔥🔥🔥,
2025-04-02,Cleveland Guardians,San Diego Padres,0.1466666666666666,🔥,0.8533333333333334,🔥🔥🔥🔥🔥,
2025-04-02,Pittsburgh Pirates,Tampa Bay Rays,0.165,🔥,0.835,🔥🔥🔥🔥🔥,
2025-04-02,Arizona Diamondbacks,New York Yankees,0.6003333333333334,🔥🔥🔥🔥,0.3996666666666666,🔥🔥,
2025-04-02,Minnesota Twins,Chicago White Sox,0.445,🔥🔥🔥,0.5549999999999999,🔥🔥🔥,
2025-04-02,Washington Nationals,Toronto Blue Jays,0.3066666666666667,🔥🔥,0.6933333333333334,🔥🔥🔥🔥,
2025-04-02,Texas Rangers,Cincinnati Reds,0.55,🔥🔥🔥,0.44999999999999996,🔥🔥🔥,
2025-04-02,Boston Red Sox,Baltimore Orioles,0.3633333333333333,🔥🔥,0.6366666666666667,🔥🔥🔥🔥,
2025-04-02,San Francisco Giants,Houston Astros,0.36,🔥🔥,0.64,🔥🔥🔥🔥,
2025-04-02,Chicago Cubs,Athletics,0.1329999999999999,🔥,0.8670000000000001,🔥🔥🔥🔥🔥,
2025-04-02,Kansas City Royals,Milwaukee Brewers,0.5575,🔥🔥🔥,0.4425,🔥🔥🔥,
2025-04-03,Houston Astros,Minnesota Twins,0.5003333333333333,🔥🔥🔥,0.4996666666666667,🔥🔥🔥,
2025-04-03,Colorado Rockies,Philadelphia Phillies,0.5448333333333334,🔥🔥🔥,0.4551666666666666,🔥🔥🔥,
2025-04-03,Arizona Diamondbacks,New York Yankees,0.6003333333333334,🔥🔥🔥🔥,0.3996666666666666,🔥🔥,
2025-04-03,Cincinnati Reds,Milwaukee Brewers,0.2305,🔥🔥,0.7695,🔥🔥🔥🔥,
2025-04-03,Boston Red Sox,Baltimore Orioles,0.3633333333333333,🔥🔥,0.6366666666666667,🔥🔥🔥🔥,
2025-04-04,Cincinnati Reds,Milwaukee Brewers,0.2305,🔥🔥,0.7695,🔥🔥🔥🔥,
2025-04-04,San Diego Padres,Chicago Cubs,0.4956666666666667,🔥🔥🔥,0.5043333333333333,🔥🔥🔥,
2025-04-04,Athletics,Colorado Rockies,0.4206666666666667,🔥🔥🔥,0.5793333333333333,🔥🔥🔥,
2025-04-04,Miami Marlins,Atlanta Braves,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,0.5495,🔥🔥🔥,0.4505,🔥🔥🔥,
2025-04-04,Seattle Mariners,San Francisco Giants,0.34,🔥🔥,0.6599999999999999,🔥🔥🔥🔥,
2025-04-04,Tampa Bay Rays,Texas Rangers,0.065,🔥,0.935,🔥🔥🔥🔥🔥,
2025-04-04,Chicago White Sox,Detroit Tigers,0.715,🔥🔥🔥🔥,0.28500000000000003,🔥🔥,
2025-04-04,Toronto Blue Jays,New York Mets,0.1633333333333333,🔥,0.8366666666666667,🔥🔥🔥🔥🔥,
2025-04-04,Baltimore Orioles,Kansas City Royals,0.46,🔥🔥🔥,0.54,🔥🔥🔥,
2025-04-04,New York Yankees,Pittsburgh Pirates,0.3916666666666667,🔥🔥,0.6083333333333333,🔥🔥🔥🔥,
2025-04-04,Arizona Diamondbacks,Washington Nationals,0.5661666666666667,🔥🔥🔥,0.4338333333333333,🔥🔥🔥,
2025-04-04,St. Louis Cardinals,Boston Red Sox,0.185,🔥,0.815,🔥🔥🔥🔥🔥,
2025-04-04,Cleveland Guardians,Los Angeles Angels,0.4113333333333334,🔥🔥🔥,0.5886666666666667,🔥🔥🔥,
2025-04-05,Arizona Diamondbacks,Washington Nationals,0.5661666666666667,🔥🔥🔥,0.4338333333333333,🔥🔥🔥,
2025-04-05,Cleveland Guardians,Los Angeles Angels,0.4113333333333334,🔥🔥🔥,0.5886666666666667,🔥🔥🔥,
2025-04-05,Seattle Mariners,San Francisco Giants,0.34,🔥🔥,0.6599999999999999,🔥🔥🔥🔥,
2025-04-05,Tampa Bay Rays,Texas Rangers,0.065,🔥,0.935,🔥🔥🔥🔥🔥,
2025-04-05,Cincinnati Reds,Milwaukee Brewers,0.2305,🔥🔥,0.7695,🔥🔥🔥🔥,
2025-04-05,Los Angeles Dodgers,Philadelphia Phillies,0.5495,🔥🔥🔥,0.4505,🔥🔥🔥,
2025-04-05,Chicago White Sox,Detroit Tigers,0.715,🔥🔥🔥🔥,0.28500000000000003,🔥🔥,
2025-04-05,Toronto Blue Jays,New York Mets,0.1633333333333333,🔥,0.8366666666666667,🔥🔥🔥🔥🔥,
2025-04-05,Houston Astros,Minnesota Twins,0.5003333333333333,🔥🔥🔥,0.4996666666666667,🔥🔥🔥,
2025-04-05,Baltimore Orioles,Kansas City Royals,0.46,🔥🔥🔥,0.54,🔥🔥🔥,
