Game Date,Away Team,Home Team,Away_YRFI_Rate,Away_Avg_1st,Home_YRFI_Rate,Home_Avg_1st,YRFI
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.5,0.25,0.3333333333333333,1.6666666666666667,0
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.5,0.25,0.5,1.5,0
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,1
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.3333333333333333,0.0,0.5,1.5,1
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.5,0.25,0.3333333333333333,1.6666666666666667,1
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.5,0.25,0.5,1.5,1
2025-04-06,San Diego Padres,Chicago Cubs,0.6666666666666666,1.0,0.6666666666666666,2.0,1
2025-04-06,Athletics,Colorado Rockies,0.2857142857142857,0.42857142857142855,0.6666666666666666,1.0,1
2025-04-06,Chicago White Sox,Detroit Tigers,1.0,1.0,1.0,1.0,1
2025-04-06,Baltimore Orioles,Kansas City Royals,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.6666666666666666,1
2025-04-06,Cleveland Guardians,Los Angeles Angels,0.4444444444444444,0.4444444444444444,1.0,1.3333333333333333,1
2025-04-06,Cincinnati Reds,Milwaukee Brewers,0.25,0.25,0.42857142857142855,0.14285714285714285,0
2025-04-06,Houston Astros,Minnesota Twins,1.0,0.6666666666666666,1.0,1.6666666666666667,1
2025-04-06,Toronto Blue Jays,New York Mets,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0
2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,1.0,0.6666666666666666,0.5,0.3333333333333333,1
2025-04-06,New York Yankees,Pittsburgh Pirates,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
2025-04-06,Seattle Mariners,San Francisco Giants,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
2025-04-06,Tampa Bay Rays,Texas Rangers,0.3333333333333333,0.0,0.2857142857142857,0.8571428571428571,0
2025-04-06,Arizona Diamondbacks,Washington Nationals,0.8333333333333334,0.6666666666666666,0.5,1.3333333333333333,1
2025-04-07,Baltimore Orioles,Arizona Diamondbacks,0.75,0.625,0.4,0.2,1
2025-04-07,San Diego Padres,Athletics,0.75,1.5,0.75,0.5,1
2025-04-07,Toronto Blue Jays,Boston Red Sox,0.25,0.0,0.4,1.2,0
2025-04-07,Texas Rangers,Chicago Cubs,0.5,0.25,0.5,1.5,0
2025-04-07,New York Yankees,Detroit Tigers,0.25,0.25,0.75,0.75,0
2025-04-07,Minnesota Twins,Kansas City Royals,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.7142857142857143,1
2025-04-07,Miami Marlins,New York Mets,0.25,0.5,0.25,0.5,0
2025-04-07,St. Louis Cardinals,Pittsburgh Pirates,0.6,0.2,0.5,0.25,1
2025-04-07,Cincinnati Reds,San Francisco Giants,0.2,0.2,0.5,0.25,0
2025-04-07,Houston Astros,Seattle Mariners,0.75,0.5,0.25,0.0,0
2025-04-07,Los Angeles Dodgers,Washington Nationals,0.75,0.5,0.42857142857142855,1.1428571428571428,0
2025-04-08,Baltimore Orioles,Arizona Diamondbacks,0.7777777777777778,0.7777777777777778,0.5,0.3333333333333333,1
2025-04-08,San Diego Padres,Athletics,0.8,1.8,0.8,1.6,1
2025-04-08,Philadelphia Phillies,Atlanta Braves,0.25,0.25,0.5,0.0,1
2025-04-08,Toronto Blue Jays,Boston Red Sox,0.2,0.0,0.3333333333333333,1.0,0
2025-04-08,Texas Rangers,Chicago Cubs,0.4,0.2,0.4,1.2,0
2025-04-08,Milwaukee Brewers,Colorado Rockies,0.75,0.25,0.5,0.75,0
2025-04-08,New York Yankees,Detroit Tigers,0.2,0.2,0.6,0.6,0
2025-04-08,Minnesota Twins,Kansas City Royals,0.75,0.25,0.375,0.625,0
2025-04-08,Miami Marlins,New York Mets,0.4,0.8,0.4,0.6,1
2025-04-08,St. Louis Cardinals,Pittsburgh Pirates,0.5,0.16666666666666666,0.4,0.2,0
2025-04-08,Cincinnati Reds,San Francisco Giants,0.16666666666666666,0.16666666666666666,0.4,0.2,0
2025-04-08,Houston Astros,Seattle Mariners,0.6,0.4,0.2222222222222222,0.0,0
2025-04-08,Los Angeles Angels,Tampa Bay Rays,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.7142857142857143,0
2025-04-08,Los Angeles Dodgers,Washington Nationals,0.8,0.4,0.5,1.25,1
2025-04-09,Baltimore Orioles,Arizona Diamondbacks,0.8,0.7,0.5714285714285714,0.42857142857142855,1
2025-04-09,San Diego Padres,Athletics,0.6666666666666666,1.5,0.6666666666666666,1.3333333333333333,0
2025-04-09,Philadelphia Phillies,Atlanta Braves,0.2,0.2,0.4,0.0,0
2025-04-09,Toronto Blue Jays,Boston Red Sox,0.3333333333333333,0.16666666666666666,0.42857142857142855,1.0,1
2025-04-09,Texas Rangers,Chicago Cubs,0.5,0.3333333333333333,0.5,1.0,1
