Game Date,Away Team,Home Team,Away_YRFI_Rate,Away_Avg_1st,Home_YRFI_Rate,Home_Avg_1st
2025-03-27,Chicago Cubs,Arizona Diamondbacks,0.25,0.5,0.38095238095238093,0.23809523809523808
2025-03-27,Philadelphia Phillies,Washington Nationals,0.2631578947368421,0.15789473684210525,0.38095238095238093,0.9047619047619048
2025-03-27,Baltimore Orioles,Toronto Blue Jays,0.47619047619047616,0.3333333333333333,0.6666666666666666,0.5333333333333333
2025-03-27,Boston Red Sox,Texas Rangers,0.3888888888888889,0.3888888888888889,0.3125,0.4375
2025-03-27,Minnesota Twins,St. Louis Cardinals,0.5625,0.1875,0.3333333333333333,0.14285714285714285
2025-03-27,Athletics,Seattle Mariners,0.375,0.5,0.35294117647058826,0.5294117647058824
2025-03-27,Milwaukee Brewers,New York Yankees,0.35294117647058826,0.23529411764705882,0.47619047619047616,0.7142857142857143
2025-03-27,Atlanta Braves,San Diego Padres,0.6111111111111112,0.4444444444444444,0.375,0.5625
2025-03-27,Detroit Tigers,Los Angeles Dodgers,0.3684210526315789,0.6842105263157895,0.375,0.875
2025-03-27,Cleveland Guardians,Kansas City Royals,0.38095238095238093,0.23809523809523808,0.2727272727272727,0.4090909090909091
2025-03-27,New York Mets,Houston Astros,0.18181818181818182,0.09090909090909091,0.29411764705882354,0.17647058823529413
2025-03-27,San Francisco Giants,Cincinnati Reds,0.5,0.75,0.5333333333333333,0.7333333333333333
2025-03-27,Los Angeles Angels,Chicago White Sox,0.5,0.4444444444444444,0.4,0.7333333333333333
2025-03-27,Pittsburgh Pirates,Miami Marlins,0.2631578947368421,0.21052631578947367,0.42857142857142855,0.3333333333333333
2025-03-28,Colorado Rockies,Tampa Bay Rays,0.3333333333333333,0.1111111111111111,0.5217391304347826,0.5652173913043478
2025-03-28,Baltimore Orioles,Toronto Blue Jays,0.47619047619047616,0.3333333333333333,0.6666666666666666,0.5333333333333333
2025-03-28,Boston Red Sox,Texas Rangers,0.3888888888888889,0.3888888888888889,0.3125,0.4375
2025-03-28,Athletics,Seattle Mariners,0.375,0.5,0.35294117647058826,0.5294117647058824
2025-03-28,Chicago Cubs,Arizona Diamondbacks,0.25,0.5,0.38095238095238093,0.23809523809523808
2025-03-28,Pittsburgh Pirates,Miami Marlins,0.2631578947368421,0.21052631578947367,0.42857142857142855,0.3333333333333333
2025-03-28,Detroit Tigers,Los Angeles Dodgers,0.3684210526315789,0.6842105263157895,0.375,0.875
2025-03-28,New York Mets,Houston Astros,0.18181818181818182,0.09090909090909091,0.29411764705882354,0.17647058823529413
2025-03-28,Atlanta Braves,San Diego Padres,0.6111111111111112,0.4444444444444444,0.375,0.5625
2025-03-29,Atlanta Braves,San Diego Padres,0.6111111111111112,0.4444444444444444,0.375,0.5625
2025-03-29,Philadelphia Phillies,Washington Nationals,0.2631578947368421,0.15789473684210525,0.38095238095238093,0.9047619047619048
2025-03-29,Baltimore Orioles,Toronto Blue Jays,0.47619047619047616,0.3333333333333333,0.6666666666666666,0.5333333333333333
2025-03-29,Colorado Rockies,Tampa Bay Rays,0.3333333333333333,0.1111111111111111,0.5217391304347826,0.5652173913043478
2025-03-29,Minnesota Twins,St. Louis Cardinals,0.5625,0.1875,0.3333333333333333,0.14285714285714285
2025-03-29,Athletics,Seattle Mariners,0.375,0.5,0.35294117647058826,0.5294117647058824
2025-03-29,Milwaukee Brewers,New York Yankees,0.35294117647058826,0.23529411764705882,0.47619047619047616,0.7142857142857143
2025-03-29,Boston Red Sox,Texas Rangers,0.3888888888888889,0.3888888888888889,0.3125,0.4375
2025-03-29,Detroit Tigers,Los Angeles Dodgers,0.3684210526315789,0.6842105263157895,0.375,0.875
2025-03-29,Cleveland Guardians,Kansas City Royals,0.38095238095238093,0.23809523809523808,0.2727272727272727,0.4090909090909091
2025-03-29,New York Mets,Houston Astros,0.18181818181818182,0.09090909090909091,0.29411764705882354,0.17647058823529413
2025-03-29,San Francisco Giants,Cincinnati Reds,0.5,0.75,0.5333333333333333,0.7333333333333333
2025-03-29,Pittsburgh Pirates,Miami Marlins,0.2631578947368421,0.21052631578947367,0.42857142857142855,0.3333333333333333
2025-03-29,Los Angeles Angels,Chicago White Sox,0.5,0.4444444444444444,0.4,0.7333333333333333
2025-03-29,Chicago Cubs,Arizona Diamondbacks,0.25,0.5,0.38095238095238093,0.23809523809523808
2025-03-30,Baltimore Orioles,Toronto Blue Jays,0.47619047619047616,0.3333333333333333,0.6666666666666666,0.5333333333333333
2025-03-30,Boston Red Sox,Texas Rangers,0.3888888888888889,0.3888888888888889,0.3125,0.4375
2025-03-30,Colorado Rockies,Tampa Bay Rays,0.3333333333333333,0.1111111111111111,0.5217391304347826,0.5652173913043478
2025-03-30,Minnesota Twins,St. Louis Cardinals,0.5625,0.1875,0.3333333333333333,0.14285714285714285
2025-03-30,Athletics,Seattle Mariners,0.375,0.5,0.35294117647058826,0.5294117647058824
2025-03-30,Atlanta Braves,San Diego Padres,0.6111111111111112,0.4444444444444444,0.375,0.5625
2025-03-30,Philadelphia Phillies,Washington Nationals,0.2631578947368421,0.15789473684210525,0.38095238095238093,0.9047619047619048
2025-03-30,Pittsburgh Pirates,Miami Marlins,0.2631578947368421,0.21052631578947367,0.42857142857142855,0.3333333333333333
2025-03-30,Cleveland Guardians,Kansas City Royals,0.38095238095238093,0.23809523809523808,0.2727272727272727,0.4090909090909091
2025-03-30,San Francisco Giants,Cincinnati Reds,0.5,0.75,0.5333333333333333,0.7333333333333333
